Designator,Mid X,Mid Y,Rotation,Layer
C4_13,174.3075,-59.94175,270.0,bottom
C4_14,198.12,-59.94175,270.0,bottom
C4_15,79.0575,-78.99175,270.0,bottom
C4_16,98.1075,-78.99175,270.0,bottom
C4_17,117.1575,-76.6105,270.0,bottom
C4_18,136.2075,-74.22925,270.0,bottom
C4_19,155.2575,-76.6105,270.0,bottom
C4_2,98.1075,-40.89175,270.0,bottom
C4_20,174.3075,-78.99175,270.0,bottom
C4_21,198.12,-78.99175,270.0,bottom
C4_22,75.280534,-102.598488,283.5,bottom
C4_23,98.1075,-98.04175,270.0,bottom
C4_24,117.1575,-95.6605,270.0,bottom
C4_25,136.2075,-93.27925,270.0,bottom
C4_26,155.2575,-95.6605,270.0,bottom
C4_27,174.3075,-98.04175,270.0,bottom
C4_28,198.12,-98.04175,270.0,bottom
C4_29,50.581601,-109.292237,290.0,bottom
C4_3,118.999,-47.8828,270.0,bottom
C4_30,58.691563,-129.948565,290.0,bottom
C4_31,80.951736,-124.310402,283.5,bottom
C4_32,105.014822,-121.453923,275.0,bottom
C4_33,136.2075,-112.32925,270.0,bottom
C4_34,155.2575,-114.7105,270.0,bottom
C4_35,174.3075,-117.09175,270.0,bottom
C4_36,193.3575,-117.09175,270.0,bottom
C4_4,136.2075,-36.12925,270.0,bottom
C4_5,155.2575,-38.5105,270.0,bottom
C4_6,174.3075,-40.89175,270.0,bottom
C4_7,198.12,-40.5638,270.0,bottom
C4_8,79.0575,-59.94175,270.0,bottom
C4_9,98.1075,-59.94175,270.0,bottom
C5,41.052,-46.8478,90.0,top
C5_1,67.5005,-42.28875,180.0,bottom
C5_10,105.6005,-58.9575,180.0,bottom
C5_11,124.6505,-56.57625,180.0,bottom
C5_12,143.7005,-58.9575,180.0,bottom
C5_13,162.7505,-61.33875,180.0,bottom
C5_14,186.563,-61.33875,180.0,bottom
C5_15,67.5005,-80.38875,180.0,bottom
C5_16,86.5505,-80.38875,180.0,bottom
C5_17,105.6005,-78.0075,180.0,bottom
C5_18,124.6505,-75.62625,180.0,bottom
C5_19,143.7005,-78.0075,180.0,bottom
C5_2,86.5505,-42.28875,180.0,bottom
C5_20,162.7505,-80.38875,180.0,bottom
C5_21,186.563,-80.38875,180.0,bottom
C5_22,64.368978,-106.654817,193.5,bottom
C5_23,86.5505,-99.43875,180.0,bottom
C5_24,105.6005,-97.0575,180.0,bottom
C5_25,124.6505,-94.67625,180.0,bottom
C5_26,143.7005,-97.0575,180.0,bottom
C5_27,162.7505,-99.43875,180.0,bottom
C5_28,186.563,-99.43875,180.0,bottom
C5_29,40.199376,-114.557714,200.0,bottom
C5_3,105.6005,-39.9075,180.0,bottom
C5_30,48.309338,-135.214042,200.0,bottom
C5_31,70.04018,-128.366731,193.5,bottom
C5_32,93.623557,-123.852866,185.0,bottom
C5_33,124.6505,-113.72625,180.0,bottom
C5_34,143.7005,-116.1075,180.0,bottom
C5_35,162.7505,-118.48875,180.0,bottom
C5_36,181.8005,-118.48875,180.0,bottom
C5_4,124.6505,-37.52625,180.0,bottom
C5_5,143.7005,-39.9075,180.0,bottom
C5_6,162.7505,-42.28875,180.0,bottom
C5_7,186.563,-41.9608,180.0,bottom
C5_8,67.5005,-61.33875,180.0,bottom
C5_9,86.5505,-61.33875,180.0,bottom
C6,37.752,-46.7978,90.0,top
C6_1,67.5005,-40.76475,0.0,bottom
C6_10,105.6005,-57.4335,0.0,bottom
C6_11,124.6505,-55.05225,0.0,bottom
C6_12,143.7005,-57.4335,0.0,bottom
C6_13,162.7505,-59.81475,0.0,bottom
C6_14,186.563,-59.81475,0.0,bottom
C6_15,67.5005,-78.86475,0.0,bottom
C6_16,86.5505,-78.86475,0.0,bottom
C6_17,105.6005,-76.4835,0.0,bottom
C6_18,124.6505,-74.10225,0.0,bottom
C6_19,143.7005,-76.4835,0.0,bottom
C6_2,86.5505,-40.76475,0.0,bottom
C6_20,162.7505,-78.86475,0.0,bottom
C6_21,186.563,-78.86475,0.0,bottom
C6_22,64.013207,-105.172925,13.5,bottom
C6_23,86.5505,-97.91475,0.0,bottom
C6_24,105.6005,-95.5335,0.0,bottom
C6_25,124.6505,-93.15225,0.0,bottom
C6_26,143.7005,-95.5335,0.0,bottom
C6_27,162.7505,-97.91475,0.0,bottom
C6_28,186.563,-97.91475,0.0,bottom
C6_29,39.678137,-113.125622,20.0,bottom
C6_3,105.6005,-38.3835,0.0,bottom
C6_30,47.788099,-133.78195,20.0,bottom
C6_31,69.684409,-126.884839,13.5,bottom
C6_32,93.490732,-122.334666,5.0,bottom
C6_33,124.6505,-112.20225,0.0,bottom
C6_34,143.7005,-114.5835,0.0,bottom
C6_35,162.7505,-116.96475,0.0,bottom
C6_36,181.8005,-116.96475,0.0,bottom
C6_4,124.6505,-36.00225,0.0,bottom
C6_5,143.7005,-38.3835,0.0,bottom
C6_6,162.7505,-40.76475,0.0,bottom
C6_7,186.563,-40.4368,0.0,bottom
C6_8,67.5005,-59.81475,0.0,bottom
C6_9,86.5505,-59.81475,0.0,bottom
C8,52.402,-65.9978,270.0,bottom
C9,57.852,-42.3978,90.0,bottom
D1,40.894,-35.9918,90.0,bottom
D12,54.052,-100.1478,0.0,bottom
D1_1,65.5955,-44.60875,270.0,bottom
D1_10,103.682,-70.4978,90.0,bottom
D1_11,122.702,-68.1978,90.0,bottom
D1_12,140.7836,-62.2554,0.0,bottom
D1_13,159.8168,-64.6176,0.0,bottom
D1_14,183.642,-64.5668,0.0,bottom
D1_15,65.5955,-82.70875,270.0,bottom
D1_16,84.622,-91.8678,90.0,bottom
D1_17,103.692,-89.6878,90.0,bottom
D1_18,122.777,-87.3728,90.0,bottom
D1_19,140.692,-81.1978,0.0,bottom
D1_2,84.612,-53.8678,90.0,bottom
D1_20,159.766,-83.6676,0.0,bottom
D1_21,184.658,-90.7288,90.0,bottom
D1_22,63.058206,-109.355428,283.5,bottom
D1_23,84.622,-110.4678,90.0,bottom
D1_24,103.692,-107.3578,90.0,bottom
D1_25,122.727,-105.7478,90.0,bottom
D1_26,140.722,-100.2778,0.0,bottom
D1_27,159.766,-102.743,0.0,bottom
D1_28,183.642,-102.6668,0.0,bottom
D1_29,39.202748,-117.389349,290.0,bottom
D1_3,103.722,-50.1378,90.0,bottom
D1_30,47.31271,-138.045677,290.0,bottom
D1_31,68.729408,-131.067342,283.5,bottom
D1_32,91.928007,-126.33007,275.0,bottom
D1_33,119.502,-116.4228,270.0,bottom
D1_34,140.732,-119.3178,0.0,bottom
D1_35,159.7914,-121.7422,0.0,bottom
D1_36,178.816,-121.7168,0.0,bottom
D1_4,122.777,-48.3478,90.0,bottom
D1_5,140.6652,-43.2054,0.0,bottom
D1_6,159.8422,-45.4914,0.0,bottom
