Designator,Quantity,Value,Footprint,LCSC Part #
J1,1,Conn_01x16,FPC_16_JUSHUO_AFC05_S16FIA_00,C561388
C4,1,4.7uF,C_0603_1608Metric,C19666
LED1,1,WS2812B-Mini,WS2812B-Mini,C527089
D1,1,D_Small,D_SOD-323F,C2826370
C6,3,1uF,C_0402_1005Metric,C52923
C5,3,1uF,C_0402_1005Metric,C52923
C3,3,1uF,C_0402_1005Metric,C52923
C2,2,2.2uF,C_0603_1608Metric,C23630
C1,2,2.2uF,C_0603_1608Metric,C23630
