Designator,Mid X,Mid Y,Rotation,Layer
C4_16,78.2095,-78.665,270.0,bottom
C4_17,97.2595,-76.28375,270.0,bottom
C4_18,116.3095,-73.9025,270.0,bottom
C4_19,135.3595,-76.28375,270.0,bottom
C4_2,78.2095,-40.565,270.0,bottom
C4_20,154.4095,-78.665,270.0,bottom
C4_21,173.4595,-78.665,270.0,bottom
C4_22,54.397,-97.715,270.0,bottom
C4_23,78.2095,-97.715,270.0,bottom
C4_24,97.2595,-95.33375,270.0,bottom
C4_25,116.3095,-92.9525,270.0,bottom
C4_26,135.3595,-95.33375,270.0,bottom
C4_27,154.4095,-97.715,270.0,bottom
C4_28,176.982489,-105.056312,256.5,bottom
C4_29,201.311764,-113.020881,250.0,bottom
C4_3,97.2595,-38.18375,270.0,bottom
C4_30,59.1595,-116.765,270.0,bottom
C4_31,78.2095,-116.765,270.0,bottom
C4_32,97.2595,-114.38375,270.0,bottom
C4_33,116.3095,-112.0025,270.0,bottom
C4_34,147.50059,-122.145031,265.0,bottom
C4_35,171.277286,-126.766682,256.5,bottom
C4_36,193.225311,-133.681194,250.0,bottom
C4_4,116.3095,-35.8025,270.0,bottom
C4_5,135.3595,-38.18375,270.0,bottom
C4_6,154.4095,-40.565,270.0,bottom
C4_7,173.4595,-40.565,270.0,bottom
C4_8,54.397,-59.615,270.0,bottom
C4_9,78.2095,-59.615,270.0,bottom
C5,207.664976,-48.047981,90.0,top
C5_1,42.84,-41.962,180.0,bottom
C5_10,85.7025,-58.63075,180.0,bottom
C5_11,104.7525,-56.2495,180.0,bottom
C5_12,123.8025,-58.63075,180.0,bottom
C5_13,142.8525,-61.012,180.0,bottom
C5_14,161.9025,-61.012,180.0,bottom
C5_15,42.84,-80.062,180.0,bottom
C5_16,66.6525,-80.062,180.0,bottom
C5_17,85.7025,-77.68075,180.0,bottom
C5_18,104.7525,-75.2995,180.0,bottom
C5_19,123.8025,-77.68075,180.0,bottom
C5_2,66.6525,-41.962,180.0,bottom
C5_20,142.8525,-80.062,180.0,bottom
C5_21,161.9025,-80.062,180.0,bottom
C5_22,42.84,-99.112,180.0,bottom
C5_23,66.6525,-99.112,180.0,bottom
C5_24,85.7025,-96.73075,180.0,bottom
C5_25,104.7525,-94.3495,180.0,bottom
C5_26,123.8025,-96.73075,180.0,bottom
C5_27,142.8525,-99.112,180.0,bottom
C5_28,165.418688,-103.716785,166.5,bottom
C5_29,189.973935,-110.380905,160.0,bottom
C5_3,85.7025,-39.58075,180.0,bottom
C5_30,47.6025,-118.162,180.0,bottom
C5_31,66.6525,-118.162,180.0,bottom
C5_32,85.7025,-115.78075,180.0,bottom
C5_33,104.7525,-113.3995,180.0,bottom
C5_34,135.865813,-122.529456,175.0,bottom
C5_35,159.713485,-125.427155,166.5,bottom
C5_36,181.887482,-131.041218,160.0,bottom
C5_4,104.7525,-37.1995,180.0,bottom
C5_5,123.75,-40.6,180.0,bottom
C5_6,142.8525,-41.962,180.0,bottom
C5_7,161.9025,-41.962,180.0,bottom
C5_8,42.84,-61.012,180.0,bottom
C5_9,66.6525,-61.012,180.0,bottom
C6,204.364976,-47.997981,90.0,top
C6_1,42.84,-40.438,0.0,bottom
C6_10,85.7025,-57.10675,0.0,bottom
C6_11,104.7525,-54.7255,0.0,bottom
C6_12,123.8025,-57.10675,0.0,bottom
C6_13,142.8525,-59.488,0.0,bottom
C6_14,161.9025,-59.488,0.0,bottom
C6_15,42.84,-78.538,0.0,bottom
C6_16,66.6525,-78.538,0.0,bottom
C6_17,85.7025,-76.15675,0.0,bottom
C6_18,104.7525,-73.7755,0.0,bottom
C6_19,123.8025,-76.15675,0.0,bottom
C6_2,66.6525,-40.438,0.0,bottom
C6_20,142.8525,-78.538,0.0,bottom
C6_21,161.9025,-78.538,0.0,bottom
C6_22,42.84,-97.588,0.0,bottom
C6_23,66.6525,-97.588,0.0,bottom
C6_24,85.7025,-95.20675,0.0,bottom
C6_25,104.7525,-92.8255,0.0,bottom
C6_26,123.8025,-95.20675,0.0,bottom
C6_27,142.8525,-97.588,0.0,bottom
C6_28,165.774459,-102.234893,346.5,bottom
C6_29,190.495174,-108.948813,340.0,bottom
C6_3,85.7025,-38.05675,0.0,bottom
C6_30,47.6025,-116.638,0.0,bottom
C6_31,66.6525,-116.638,0.0,bottom
C6_32,85.7025,-114.25675,0.0,bottom
C6_33,104.7525,-111.8755,0.0,bottom
C6_34,135.998638,-121.011255,355.0,bottom
C6_35,160.069256,-123.945263,346.5,bottom
C6_36,182.408721,-129.609126,340.0,bottom
C6_4,104.7525,-35.6755,0.0,bottom
C6_5,123.75,-39.35,0.0,bottom
C6_6,142.8525,-40.438,0.0,bottom
C6_7,161.9025,-40.438,0.0,bottom
C6_8,42.84,-59.488,0.0,bottom
C6_9,66.6525,-59.488,0.0,bottom
C8,192.504,-65.9345,270.0,bottom
C9,187.3,-48.45,90.0,bottom
D1,199.81,-35.9918,90.0,bottom
D12,186.9,-79.9,0.0,bottom
D1_1,39.85,-53.2,0.0,bottom
D1_10,82.7856,-69.4,0.0,bottom
D1_11,101.8,-66.8,0.0,bottom
D1_12,120.8856,-61.92865,0.0,bottom
D1_13,139.9356,-64.3099,0.0,bottom
D1_14,158.9856,-64.3099,0.0,bottom
D1_15,41.1,-91.4,0.0,bottom
D1_16,63.65,-89.5,0.0,bottom
D1_17,82.8,-88.0,0.0,bottom
D1_18,101.8356,-85.7,0.0,bottom
D1_19,120.8856,-80.97865,0.0,bottom
D1_2,63.7356,-45.2599,0.0,bottom
D1_20,139.9356,-83.3599,0.0,bottom
D1_21,158.9856,-83.3599,0.0,bottom
D1_22,39.8,-116.4,0.0,bottom
D1_23,63.7,-109.6,0.0,bottom
D1_24,82.7856,-107.1,0.0,bottom
D1_25,101.8356,-104.7,0.0,bottom
D1_26,120.8856,-100.02865,0.0,bottom
D1_27,139.9356,-102.4099,0.0,bottom
D1_28,161.812503,-106.242627,346.5,bottom
D1_29,186.104997,-112.482278,340.0,bottom
D1_3,82.7856,-49.9,0.0,bottom
D1_30,44.6856,-121.4599,0.0,bottom
D1_31,63.7,-128.7,0.0,bottom
D1_32,82.8,-126.0,0.0,bottom
D1_33,101.9,-123.8,0.0,bottom
D1_34,132.672581,-125.560582,355.0,bottom
D1_35,156.1073,-127.952997,346.5,bottom
D1_36,178.018544,-133.142591,340.0,bottom
D1_4,101.8,-47.7,0.0,bottom
D1_5,120.85,-48.35,0.0,bottom
D1_6,139.9356,-45.2599,0.0,bottom
D1_7,158.9856,-45.2599,0.0,bottom
D1_8,40.6,-72.0,0.0,bottom
D1_9,63.7356,-64.3099,0.0,bottom
D2,200.4,-43.3,180.0,top
D5,208.0,-75.6,90.0,bottom
D6,207.9,-67.6,90.0,bottom
DBG1,186.5,-61.5,0.0,top
DBG3,36.869,-90.9828,0.0,top
FB1,183.554,-36.7365,90.0,bottom
FB2,205.6,-93.5,270.0,top
J1,48.4915,-41.1705,0.0,bottom
J10,91.354,-57.83925,0.0,bottom
J11,110.404,-55.458,0.0,bottom
J12,129.454,-57.83925,0.0,bottom
J13,148.504,-60.2205,0.0,bottom
J14,167.554,-60.2205,0.0,bottom
J15,48.4915,-79.2705,0.0,bottom
J16,72.304,-79.2705,0.0,bottom
J17,91.354,-76.88925,0.0,bottom
J18,110.404,-74.508,0.0,bottom
J19,129.454,-76.88925,0.0,bottom
J2,72.304,-41.1705,0.0,bottom
J20,148.504,-79.2705,0.0,bottom
J21,167.554,-79.2705,0.0,bottom
J22,48.4915,-98.3205,0.0,bottom
J23,72.304,-98.3205,0.0,bottom
J24,91.354,-95.93925,0.0,bottom
J25,110.404,-93.558,0.0,bottom
J26,129.454,-95.93925,0.0,bottom
J27,148.504,-98.3205,0.0,bottom
J28,171.098807,-104.266471,346.5,bottom
J29,195.555316,-111.570065,340.0,bottom
J3,91.354,-38.78925,0.0,bottom
J30,53.254,-117.3705,0.0,bottom
J31,72.304,-117.3705,0.0,bottom
J32,91.354,-114.98925,0.0,bottom
J33,110.404,-112.608,0.0,bottom
J34,141.56479,-122.233529,355.0,bottom
J35,165.393604,-125.976841,346.5,bottom
J36,187.468863,-132.230378,340.0,bottom
J37,196.3,-80.96,160.0,bottom
J38,179.65034,-96.771579,160.0,top
J39,195.602,-72.117353,0.0,top
J4,110.404,-36.408,0.0,bottom
J5,129.454,-38.78925,0.0,bottom
J6,148.504,-41.1705,0.0,bottom
J7,167.554,-41.1705,0.0,bottom
J8,48.4915,-60.2205,0.0,bottom
J9,72.304,-60.2205,0.0,bottom
L1,206.4915,-56.011,270.0,bottom
L2,206.363976,-46.462981,270.0,bottom
LED1,48.4915,-41.7715,0.0,top
LED10,91.354,-58.44025,0.0,top
LED11,110.404,-56.059,0.0,top
LED12,129.454,-58.44025,0.0,top
LED13,148.504,-60.8215,0.0,top
LED14,167.554,-60.8215,0.0,top
LED15,48.4915,-79.8715,0.0,top
LED16,72.304,-79.8715,0.0,top
LED17,91.354,-77.49025,0.0,top
LED18,110.404,-75.109,0.0,top
LED19,129.454,-77.49025,0.0,top
LED2,72.304,-41.7715,0.0,top
LED20,148.504,-79.8715,0.0,top
LED21,167.554,-79.8715,0.0,top
LED22,48.4915,-98.9215,0.0,top
LED23,72.304,-98.9215,0.0,top
LED24,91.354,-96.54025,0.0,top
LED25,110.404,-94.159,0.0,top
LED26,129.454,-96.54025,0.0,top
LED27,148.504,-98.9215,0.0,top
LED28,170.958507,-104.850865,346.5,top
LED29,195.349762,-112.13482,340.0,top
LED3,91.354,-39.39025,0.0,top
LED30,53.254,-117.9715,0.0,top
LED31,72.304,-117.9715,0.0,top
LED32,91.354,-115.59025,0.0,top
LED33,110.404,-113.209,0.0,top
LED34,141.512409,-122.832242,355.0,top
LED35,165.253304,-126.561235,346.5,top
LED36,187.263309,-132.795133,340.0,top
LED4,110.404,-37.009,0.0,top
LED5,129.454,-39.39025,0.0,top
LED6,148.504,-41.7715,0.0,top
LED7,167.554,-41.7715,0.0,top
LED8,48.4915,-60.8215,0.0,top
LED9,72.304,-60.8215,0.0,top
R1,182.4,-41.4,90.0,bottom
R10,204.4595,-59.694,180.0,top
R11,207.5075,-58.17,180.0,top
R12,202.8085,-56.138,0.0,top
R13,208.31,-64.535,0.0,bottom
R14,206.164976,-48.047981,270.0,top
R15,184.75,-48.19,90.0,bottom
R16,198.404,-37.774,90.0,top
R17,209.164976,-48.047981,270.0,top
R18,201.344,-43.605,180.0,bottom
R19,190.641341,-63.001041,90.0,bottom
R1_1,56.175,-42.978,90.0,bottom
R1_10,99.0375,-59.64675,90.0,bottom
